Course,Previous qualification,Mother's qualification,Father's qualification,Scholarship holder,Curricular units 1st sem (credited),Curricular units 1st sem (grade),Unemployment rate,Inflation rate,GDP,order,value,abs_value,metric,n_train,n_test,seed
0,1,0,0,0,0,0,0,0,1,2,0.5207956600361664,0.5207956600361664,accuracy,3318,1106,42
0,0,1,1,0,0,0,0,0,0,2,0.5090415913200723,0.5090415913200723,accuracy,3318,1106,42
0,0,1,0,1,0,0,0,0,0,2,0.5289330922242315,0.5289330922242315,accuracy,3318,1106,42
0,0,1,0,0,1,0,0,0,0,2,0.5045207956600362,0.5045207956600362,accuracy,3318,1106,42
0,0,1,0,0,0,1,0,0,0,2,0.6274864376130199,0.6274864376130199,accuracy,3318,1106,42
0,0,1,0,0,0,0,1,0,0,2,0.5036166365280289,0.5036166365280289,accuracy,3318,1106,42
0,0,1,0,0,0,0,0,1,0,2,0.5099457504520796,0.5099457504520796,accuracy,3318,1106,42
0,0,1,0,0,0,0,0,0,1,2,0.5036166365280289,0.5036166365280289,accuracy,3318,1106,42
0,0,0,1,1,0,0,0,0,0,2,0.5298372513562387,0.5298372513562387,accuracy,3318,1106,42
0,0,0,1,0,1,0,0,0,0,2,0.5099457504520796,0.5099457504520796,accuracy,3318,1106,42
0,0,0,1,0,0,1,0,0,0,2,0.6292947558770343,0.6292947558770343,accuracy,3318,1106,42
0,0,0,1,0,0,0,1,0,0,2,0.5099457504520796,0.5099457504520796,accuracy,3318,1106,42
0,0,0,1,0,0,0,0,1,0,2,0.5108499095840868,0.5108499095840868,accuracy,3318,1106,42
0,0,0,1,0,0,0,0,0,1,2,0.5108499095840868,0.5108499095840868,accuracy,3318,1106,42
0,0,0,0,1,1,0,0,0,0,2,0.49909584086799275,0.49909584086799275,accuracy,3318,1106,42
0,0,0,0,1,0,1,0,0,0,2,0.6329113924050633,0.6329113924050633,accuracy,3318,1106,42
0,0,0,0,1,0,0,1,0,0,2,0.47468354430379744,0.47468354430379744,accuracy,3318,1106,42
0,0,0,0,1,0,0,0,1,0,2,0.46835443037974683,0.46835443037974683,accuracy,3318,1106,42
0,0,0,0,1,0,0,0,0,1,2,0.47468354430379744,0.47468354430379744,accuracy,3318,1106,42
0,0,0,0,0,1,1,0,0,0,2,0.64376130198915,0.64376130198915,accuracy,3318,1106,42
0,0,0,0,0,1,0,1,0,0,2,0.49547920433996384,0.49547920433996384,accuracy,3318,1106,42
0,0,0,0,0,1,0,0,1,0,2,0.4936708860759494,0.4936708860759494,accuracy,3318,1106,42
0,0,0,0,0,1,0,0,0,1,2,0.49547920433996384,0.49547920433996384,accuracy,3318,1106,42
0,0,0,0,0,0,1,1,0,0,2,0.6301989150090416,0.6301989150090416,accuracy,3318,1106,42
0,0,0,0,0,0,1,0,1,0,2,0.6301989150090416,0.6301989150090416,accuracy,3318,1106,42
0,0,0,0,0,0,1,0,0,1,2,0.6301989150090416,0.6301989150090416,accuracy,3318,1106,42
0,0,0,0,0,0,0,1,1,0,2,0.49909584086799275,0.49909584086799275,accuracy,3318,1106,42
0,0,0,0,0,0,0,1,0,1,2,0.49909584086799275,0.49909584086799275,accuracy,3318,1106,42
0,0,0,0,0,0,0,0,1,1,2,0.49909584086799275,0.49909584086799275,accuracy,3318,1106,42
1,1,1,0,0,0,0,0,0,0,3,0.5515370705244123,0.5515370705244123,accuracy,3318,1106,42
1,1,0,1,0,0,0,0,0,0,3,0.5569620253164557,0.5569620253164557,accuracy,3318,1106,42
1,1,0,0,1,0,0,0,0,0,3,0.5641952983725136,0.5641952983725136,accuracy,3318,1106,42
1,1,0,0,0,1,0,0,0,0,3,0.5515370705244123,0.5515370705244123,accuracy,3318,1106,42
1,1,0,0,0,0,1,0,0,0,3,0.6419529837251357,0.6419529837251357,accuracy,3318,1106,42
1,1,0,0,0,0,0,1,0,0,3,0.5560578661844484,0.5560578661844484,accuracy,3318,1106,42
1,1,0,0,0,0,0,0,1,0,3,0.5587703435804702,0.5587703435804702,accuracy,3318,1106,42
1,1,0,0,0,0,0,0,0,1,3,0.5605786618444847,0.5605786618444847,accuracy,3318,1106,42
1,0,1,1,0,0,0,0,0,0,3,0.5578661844484629,0.5578661844484629,accuracy,3318,1106,42
1,0,1,0,1,0,0,0,0,0,3,0.5678119349005425,0.5678119349005425,accuracy,3318,1106,42
1,0,1,0,0,1,0,0,0,0,3,0.5560578661844484,0.5560578661844484,accuracy,3318,1106,42
1,0,1,0,0,0,1,0,0,0,3,0.6374321880650995,0.6374321880650995,accuracy,3318,1106,42
1,0,1,0,0,0,0,1,0,0,3,0.5370705244122965,0.5370705244122965,accuracy,3318,1106,42
1,0,1,0,0,0,0,0,1,0,3,0.5452079566003617,0.5452079566003617,accuracy,3318,1106,42
1,0,1,0,0,0,0,0,0,1,3,0.546112115732369,0.546112115732369,accuracy,3318,1106,42
1,0,0,1,1,0,0,0,0,0,3,0.5687160940325497,0.5687160940325497,accuracy,3318,1106,42
1,0,0,1,0,1,0,0,0,0,3,0.5650994575045208,0.5650994575045208,accuracy,3318,1106,42
1,0,0,1,0,0,1,0,0,0,3,0.6464737793851718,0.6464737793851718,accuracy,3318,1106,42
1,0,0,1,0,0,0,1,0,0,3,0.5605786618444847,0.5605786618444847,accuracy,3318,1106,42
1,0,0,1,0,0,0,0,1,0,3,0.5533453887884268,0.5533453887884268,accuracy,3318,1106,42
1,0,0,1,0,0,0,0,0,1,3,0.5578661844484629,0.5578661844484629,accuracy,3318,1106,42
1,0,0,0,1,1,0,0,0,0,3,0.5705244122965641,0.5705244122965641,accuracy,3318,1106,42
1,0,0,0,1,0,1,0,0,0,3,0.6446654611211573,0.6446654611211573,accuracy,3318,1106,42
1,0,0,0,1,0,0,1,0,0,3,0.5533453887884268,0.5533453887884268,accuracy,3318,1106,42
1,0,0,0,1,0,0,0,1,0,3,0.5605786618444847,0.5605786618444847,accuracy,3318,1106,42
1,0,0,0,1,0,0,0,0,1,3,0.5632911392405063,0.5632911392405063,accuracy,3318,1106,42
1,0,0,0,0,1,1,0,0,0,3,0.64376130198915,0.64376130198915,accuracy,3318,1106,42
1,0,0,0,0,1,0,1,0,0,3,0.5406871609403255,0.5406871609403255,accuracy,3318,1106,42
1,0,0,0,0,1,0,0,1,0,3,0.5560578661844484,0.5560578661844484,accuracy,3318,1106,42
1,0,0,0,0,1,0,0,0,1,3,0.5479204339963833,0.5479204339963833,accuracy,3318,1106,42
1,0,0,0,0,0,1,1,0,0,3,0.6338155515370705,0.6338155515370705,accuracy,3318,1106,42
1,0,0,0,0,0,1,0,1,0,3,0.6311030741410488,0.6311030741410488,accuracy,3318,1106,42
1,0,0,0,0,0,1,0,0,1,3,0.6320072332730561,0.6320072332730561,accuracy,3318,1106,42
1,0,0,0,0,0,0,1,1,0,3,0.5452079566003617,0.5452079566003617,accuracy,3318,1106,42
1,0,0,0,0,0,0,1,0,1,3,0.5424954792043399,0.5424954792043399,accuracy,3318,1106,42
1,0,0,0,0,0,0,0,1,1,3,0.5479204339963833,0.5479204339963833,accuracy,3318,1106,42
0,1,1,1,0,0,0,0,0,0,3,0.5262206148282098,0.5262206148282098,accuracy,3318,1106,42
0,1,1,0,1,0,0,0,0,0,3,0.5424954792043399,0.5424954792043399,accuracy,3318,1106,42
