checking_status,credit_history,purpose,savings_status,employment,personal_status,other_parties,property_magnitude,other_payment_plans,own_telephone,order,value,abs_value,metric,n_train,n_test,seed
1,0,1,1,1,0,0,0,0,0,4,0.688,0.688,accuracy,750,250,42
1,0,1,1,0,1,0,0,0,0,4,0.704,0.704,accuracy,750,250,42
1,0,1,1,0,0,1,0,0,0,4,0.724,0.724,accuracy,750,250,42
1,0,1,1,0,0,0,1,0,0,4,0.692,0.692,accuracy,750,250,42
1,0,1,1,0,0,0,0,1,0,4,0.712,0.712,accuracy,750,250,42
1,0,1,1,0,0,0,0,0,1,4,0.72,0.72,accuracy,750,250,42
1,0,1,0,1,1,0,0,0,0,4,0.668,0.668,accuracy,750,250,42
1,0,1,0,1,0,1,0,0,0,4,0.676,0.676,accuracy,750,250,42
1,0,1,0,1,0,0,1,0,0,4,0.676,0.676,accuracy,750,250,42
1,0,1,0,1,0,0,0,1,0,4,0.652,0.652,accuracy,750,250,42
1,0,1,0,1,0,0,0,0,1,4,0.64,0.64,accuracy,750,250,42
1,0,1,0,0,1,1,0,0,0,4,0.688,0.688,accuracy,750,250,42
1,0,1,0,0,1,0,1,0,0,4,0.708,0.708,accuracy,750,250,42
1,0,1,0,0,1,0,0,1,0,4,0.676,0.676,accuracy,750,250,42
1,0,1,0,0,1,0,0,0,1,4,0.664,0.664,accuracy,750,250,42
1,0,1,0,0,0,1,1,0,0,4,0.676,0.676,accuracy,750,250,42
1,0,1,0,0,0,1,0,1,0,4,0.664,0.664,accuracy,750,250,42
1,0,1,0,0,0,1,0,0,1,4,0.66,0.66,accuracy,750,250,42
1,0,1,0,0,0,0,1,1,0,4,0.68,0.68,accuracy,750,250,42
1,0,1,0,0,0,0,1,0,1,4,0.672,0.672,accuracy,750,250,42
1,0,1,0,0,0,0,0,1,1,4,0.656,0.656,accuracy,750,250,42
1,0,0,1,1,1,0,0,0,0,4,0.704,0.704,accuracy,750,250,42
1,0,0,1,1,0,1,0,0,0,4,0.704,0.704,accuracy,750,250,42
1,0,0,1,1,0,0,1,0,0,4,0.716,0.716,accuracy,750,250,42
1,0,0,1,1,0,0,0,1,0,4,0.684,0.684,accuracy,750,250,42
1,0,0,1,1,0,0,0,0,1,4,0.688,0.688,accuracy,750,250,42
1,0,0,1,0,1,1,0,0,0,4,0.724,0.724,accuracy,750,250,42
1,0,0,1,0,1,0,1,0,0,4,0.692,0.692,accuracy,750,250,42
1,0,0,1,0,1,0,0,1,0,4,0.68,0.68,accuracy,750,250,42
1,0,0,1,0,1,0,0,0,1,4,0.696,0.696,accuracy,750,250,42
1,0,0,1,0,0,1,1,0,0,4,0.68,0.68,accuracy,750,250,42
1,0,0,1,0,0,1,0,1,0,4,0.708,0.708,accuracy,750,250,42
1,0,0,1,0,0,1,0,0,1,4,0.692,0.692,accuracy,750,250,42
1,0,0,1,0,0,0,1,1,0,4,0.704,0.704,accuracy,750,250,42
1,0,0,1,0,0,0,1,0,1,4,0.676,0.676,accuracy,750,250,42
1,0,0,1,0,0,0,0,1,1,4,0.732,0.732,accuracy,750,250,42
1,0,0,0,1,1,1,0,0,0,4,0.66,0.66,accuracy,750,250,42
1,0,0,0,1,1,0,1,0,0,4,0.708,0.708,accuracy,750,250,42
1,0,0,0,1,1,0,0,1,0,4,0.664,0.664,accuracy,750,250,42
1,0,0,0,1,1,0,0,0,1,4,0.66,0.66,accuracy,750,250,42
1,0,0,0,1,0,1,1,0,0,4,0.692,0.692,accuracy,750,250,42
1,0,0,0,1,0,1,0,1,0,4,0.696,0.696,accuracy,750,250,42
1,0,0,0,1,0,1,0,0,1,4,0.696,0.696,accuracy,750,250,42
1,0,0,0,1,0,0,1,1,0,4,0.668,0.668,accuracy,750,250,42
1,0,0,0,1,0,0,1,0,1,4,0.72,0.72,accuracy,750,250,42
1,0,0,0,1,0,0,0,1,1,4,0.708,0.708,accuracy,750,250,42
1,0,0,0,0,1,1,1,0,0,4,0.724,0.724,accuracy,750,250,42
1,0,0,0,0,1,1,0,1,0,4,0.684,0.684,accuracy,750,250,42
1,0,0,0,0,1,1,0,0,1,4,0.672,0.672,accuracy,750,250,42
1,0,0,0,0,1,0,1,1,0,4,0.712,0.712,accuracy,750,250,42
1,0,0,0,0,1,0,1,0,1,4,0.732,0.732,accuracy,750,250,42
1,0,0,0,0,1,0,0,1,1,4,0.696,0.696,accuracy,750,250,42
1,0,0,0,0,0,1,1,1,0,4,0.676,0.676,accuracy,750,250,42
1,0,0,0,0,0,1,1,0,1,4,0.7,0.7,accuracy,750,250,42
1,0,0,0,0,0,1,0,1,1,4,0.692,0.692,accuracy,750,250,42
1,0,0,0,0,0,0,1,1,1,4,0.68,0.68,accuracy,750,250,42
0,1,1,1,1,0,0,0,0,0,4,0.668,0.668,accuracy,750,250,42
0,1,1,1,0,1,0,0,0,0,4,0.684,0.684,accuracy,750,250,42
