C1M_on,C2M_on,C4M_on,C6M_on,E1_on,V3_on,order,value,abs_value,metric,coalition_id,class_id,k_selected,class_score_max,class_score_min,class_size
0,0,1,1,1,0,3,1.174146953405018,1.174146953405018,rt_mean_next_mean,C4M_on|C6M_on|E1_on,18,20,1.1784397849462365,1.1575788530465951,4
0,0,1,1,1,1,4,1.211062760588106,1.211062760588106,rt_mean_next_mean,C4M_on|C6M_on|E1_on|V3_on,19,20,1.2202437275985665,1.211062760588106,2
0,1,0,0,0,0,1,1.0481072708653354,1.0481072708653354,rt_mean_next_mean,C2M_on,16,20,1.0481072708653354,1.0223937371991807,6
0,1,0,0,0,1,2,0.8810072108752953,0.8810072108752953,rt_mean_next_mean,C2M_on|V3_on,11,20,0.8810072108752953,0.8622016129032257,5
0,1,0,0,1,0,2,0.9702258064516128,0.9702258064516128,rt_mean_next_mean,C2M_on|E1_on,14,20,0.9865920378904248,0.9689644563918756,7
0,1,0,0,1,1,3,0.5949901081669227,0.5949901081669227,rt_mean_next_mean,C2M_on|E1_on|V3_on,4,20,0.5949901081669227,0.5949901081669227,1
0,1,0,1,0,0,2,0.9850107526881722,0.9850107526881722,rt_mean_next_mean,C2M_on|C6M_on,14,20,0.9865920378904248,0.9689644563918756,7
0,1,0,1,0,1,3,0.8314554958183992,0.8314554958183992,rt_mean_next_mean,C2M_on|C6M_on|V3_on,9,20,0.8314554958183992,0.8216240287598957,4
0,1,0,1,1,0,3,0.3080645161290323,0.3080645161290323,rt_mean_next_mean,C2M_on|C6M_on|E1_on,1,20,0.3080645161290323,0.3080645161290323,1
0,1,0,1,1,1,4,0.779479091995221,0.779479091995221,rt_mean_next_mean,C2M_on|C6M_on|E1_on|V3_on,7,20,0.779479091995221,0.7490844474787127,5
0,1,1,0,0,0,2,1.1619693740399386,1.1619693740399386,rt_mean_next_mean,C2M_on|C4M_on,18,20,1.1784397849462365,1.1575788530465951,4
0,1,1,0,0,1,3,0.8216240287598957,0.8216240287598957,rt_mean_next_mean,C2M_on|C4M_on|V3_on,9,20,0.8314554958183992,0.8216240287598957,4
0,1,1,0,1,0,3,0.9782096774193548,0.9782096774193548,rt_mean_next_mean,C2M_on|C4M_on|E1_on,14,20,0.9865920378904248,0.9689644563918756,7
0,1,1,0,1,1,4,0.9103697470748692,0.9103697470748692,rt_mean_next_mean,C2M_on|C4M_on|E1_on|V3_on,12,20,0.9147746133679734,0.8926510621749622,6
0,1,1,1,0,0,3,0.9794083141321044,0.9794083141321044,rt_mean_next_mean,C2M_on|C4M_on|C6M_on,14,20,0.9865920378904248,0.9689644563918756,7
0,1,1,1,0,1,4,0.8414650108707435,0.8414650108707435,rt_mean_next_mean,C2M_on|C4M_on|C6M_on|V3_on,10,20,0.8581319747840486,0.8414650108707435,4
0,1,1,1,1,0,4,0.981271505376344,0.981271505376344,rt_mean_next_mean,C2M_on|C4M_on|C6M_on|E1_on,14,20,0.9865920378904248,0.9689644563918756,7
0,1,1,1,1,1,5,0.8581319747840486,0.8581319747840486,rt_mean_next_mean,C2M_on|C4M_on|C6M_on|E1_on|V3_on,10,20,0.8581319747840486,0.8414650108707435,4
1,0,0,0,0,0,1,0.7578004992319508,0.7578004992319508,rt_mean_next_mean,C1M_on,7,20,0.779479091995221,0.7490844474787127,5
1,0,0,0,0,1,2,0.8048817652329749,0.8048817652329749,rt_mean_next_mean,C1M_on|V3_on,8,20,0.8096420214566531,0.7957637975742181,4
1,0,0,0,1,0,2,1.1006216984553678,1.1006216984553678,rt_mean_next_mean,C1M_on|E1_on,17,20,1.1056688081693542,1.1006216984553678,2
1,0,0,0,1,1,3,0.8738958432248755,0.8738958432248755,rt_mean_next_mean,C1M_on|E1_on|V3_on,11,20,0.8810072108752953,0.8622016129032257,5
1,0,0,1,0,0,2,0.8655069124423963,0.8655069124423963,rt_mean_next_mean,C1M_on|C6M_on,11,20,0.8810072108752953,0.8622016129032257,5
1,0,0,1,0,1,3,1.1575788530465951,1.1575788530465951,rt_mean_next_mean,C1M_on|C6M_on|V3_on,18,20,1.1784397849462365,1.1575788530465951,4
1,0,0,1,1,0,3,1.1784397849462365,1.1784397849462365,rt_mean_next_mean,C1M_on|C6M_on|E1_on,18,20,1.1784397849462365,1.1575788530465951,4
1,0,0,1,1,1,4,0.852260752688172,0.852260752688172,rt_mean_next_mean,C1M_on|C6M_on|E1_on|V3_on,10,20,0.8581319747840486,0.8414650108707435,4
1,0,1,0,0,0,2,0.6571505422061298,0.6571505422061298,rt_mean_next_mean,C1M_on|C4M_on,5,20,0.6571505422061298,0.6571505422061298,1
1,0,1,0,0,1,3,0.7974563918757468,0.7974563918757468,rt_mean_next_mean,C1M_on|C4M_on|V3_on,8,20,0.8096420214566531,0.7957637975742181,4
1,0,1,0,1,0,3,0.8995733930400117,0.8995733930400117,rt_mean_next_mean,C1M_on|C4M_on|E1_on,12,20,0.9147746133679734,0.8926510621749622,6
1,0,1,0,1,1,4,1.006052956004569,1.006052956004569,rt_mean_next_mean,C1M_on|C4M_on|E1_on|V3_on,15,20,1.0076210120158675,0.9997986559139784,3
1,0,1,1,0,0,3,1.0397720622119817,1.0397720622119817,rt_mean_next_mean,C1M_on|C4M_on|C6M_on,16,20,1.0481072708653354,1.0223937371991807,6
1,0,1,1,0,1,4,1.2202437275985665,1.2202437275985665,rt_mean_next_mean,C1M_on|C4M_on|C6M_on|V3_on,19,20,1.2202437275985665,1.211062760588106,2
1,0,1,1,1,0,4,1.0223937371991807,1.0223937371991807,rt_mean_next_mean,C1M_on|C4M_on|C6M_on|E1_on,16,20,1.0481072708653354,1.0223937371991807,6
1,0,1,1,1,1,5,0.8695526113671275,0.8695526113671275,rt_mean_next_mean,C1M_on|C4M_on|C6M_on|E1_on|V3_on,11,20,0.8810072108752953,0.8622016129032257,5
1,1,0,0,0,0,2,0.9689644563918756,0.9689644563918756,rt_mean_next_mean,C1M_on|C2M_on,14,20,0.9865920378904248,0.9689644563918756,7
1,1,0,0,0,1,3,0.8096420214566531,0.8096420214566531,rt_mean_next_mean,C1M_on|C2M_on|V3_on,8,20,0.8096420214566531,0.7957637975742181,4
1,1,0,0,1,0,3,0.9013405390308616,0.9013405390308616,rt_mean_next_mean,C1M_on|C2M_on|E1_on,12,20,0.9147746133679734,0.8926510621749622,6
1,1,0,0,1,1,4,0.9634315026447406,0.9634315026447406,rt_mean_next_mean,C1M_on|C2M_on|E1_on|V3_on,13,20,0.9634315026447406,0.944226127635805,5
1,1,0,1,0,0,3,0.9865920378904248,0.9865920378904248,rt_mean_next_mean,C1M_on|C2M_on|C6M_on,14,20,0.9865920378904248,0.9689644563918756,7
1,1,0,1,0,1,4,0.95270805587142,0.95270805587142,rt_mean_next_mean,C1M_on|C2M_on|C6M_on|V3_on,13,20,0.9634315026447406,0.944226127635805,5
1,1,0,1,1,0,4,0.944226127635805,0.944226127635805,rt_mean_next_mean,C1M_on|C2M_on|C6M_on|E1_on,13,20,0.9634315026447406,0.944226127635805,5
1,1,0,1,1,1,5,0.9559397223136566,0.9559397223136566,rt_mean_next_mean,C1M_on|C2M_on|C6M_on|E1_on|V3_on,13,20,0.9634315026447406,0.944226127635805,5
1,1,1,0,0,0,3,0.9480586046184072,0.9480586046184072,rt_mean_next_mean,C1M_on|C2M_on|C4M_on,13,20,0.9634315026447406,0.944226127635805,5
1,1,1,0,0,1,4,0.699521977094193,0.699521977094193,rt_mean_next_mean,C1M_on|C2M_on|C4M_on|V3_on,6,20,0.699521977094193,0.699521977094193,1
1,1,1,0,1,0,4,1.1056688081693542,1.1056688081693542,rt_mean_next_mean,C1M_on|C2M_on|C4M_on|E1_on,17,20,1.1056688081693542,1.1006216984553678,2
1,1,1,0,1,1,5,1.0076210120158675,1.0076210120158675,rt_mean_next_mean,C1M_on|C2M_on|C4M_on|E1_on|V3_on,15,20,1.0076210120158675,0.9997986559139784,3
1,1,1,1,0,0,4,0.9147746133679734,0.9147746133679734,rt_mean_next_mean,C1M_on|C2M_on|C4M_on|C6M_on,12,20,0.9147746133679734,0.8926510621749622,6
1,1,1,1,0,1,5,0.8926510621749622,0.8926510621749622,rt_mean_next_mean,C1M_on|C2M_on|C4M_on|C6M_on|V3_on,12,20,0.9147746133679734,0.8926510621749622,6
1,1,1,1,1,0,5,1.023213536939528,1.023213536939528,rt_mean_next_mean,C1M_on|C2M_on|C4M_on|C6M_on|E1_on,16,20,1.0481072708653354,1.0223937371991807,6
1,1,1,1,1,1,6,1.0247540337488596,1.0247540337488596,rt_mean_next_mean,C1M_on|C2M_on|C4M_on|C6M_on|E1_on|V3_on,16,20,1.0481072708653354,1.0223937371991807,6
