C1M_on,C2M_on,C3M_on,C4M_on,C5M_on,C6M_on,C7M_on,C8EV_on,E1_on,H3_on,H6M_on,V3_on,V4_on,order,value,abs_value,metric,n_train,coalition_id,class_id,k_selected,class_score_max,class_score_min,class_size
0,0,0,0,0,0,0,1,1,0,1,0,0,3,0.881,0.881,rt_mean_next_mean,1,C8EV_on|E1_on|H6M_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,0,0,0,0,0,1,1,0,1,1,0,4,0.6594854070660522,0.6594854070660522,rt_mean_next_mean,14,C8EV_on|E1_on|H6M_on|V3_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,0,0,0,0,0,1,1,0,1,1,1,5,0.4091290322580646,0.4091290322580646,rt_mean_next_mean,5,C8EV_on|E1_on|H6M_on|V3_on|V4_on,2,10,0.4776003659528327,0.2309354838709677,25
0,0,0,0,0,0,0,1,1,1,0,0,0,3,1.043548387096774,1.043548387096774,rt_mean_next_mean,2,C8EV_on|E1_on|H3_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,0,0,0,0,0,1,1,1,0,1,0,4,1.0395960061443932,1.0395960061443932,rt_mean_next_mean,7,C8EV_on|E1_on|H3_on|V3_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,0,0,0,0,0,1,1,1,0,1,1,5,0.7562244623655914,0.7562244623655914,rt_mean_next_mean,8,C8EV_on|E1_on|H3_on|V3_on|V4_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,0,0,0,0,0,1,1,1,1,0,0,4,0.6154055299539171,0.6154055299539171,rt_mean_next_mean,14,C8EV_on|E1_on|H3_on|H6M_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,0,0,0,0,0,1,1,1,1,1,0,5,0.875428924316021,0.875428924316021,rt_mean_next_mean,37,C8EV_on|E1_on|H3_on|H6M_on|V3_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,0,0,0,0,0,1,1,1,1,1,1,6,0.9330798039645966,0.9330798039645966,rt_mean_next_mean,21,C8EV_on|E1_on|H3_on|H6M_on|V3_on|V4_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,0,0,0,0,1,1,0,0,1,1,0,4,0.9466021505376344,0.9466021505376344,rt_mean_next_mean,8,C7M_on|C8EV_on|H6M_on|V3_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,0,0,0,0,1,1,0,0,1,1,1,5,1.528709677419355,1.528709677419355,rt_mean_next_mean,2,C7M_on|C8EV_on|H6M_on|V3_on|V4_on,10,10,1.7748387096774194,1.52,11
0,0,0,0,0,0,1,1,0,1,1,0,0,4,0.7431218637992831,0.7431218637992831,rt_mean_next_mean,3,C7M_on|C8EV_on|H3_on|H6M_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,0,0,0,0,1,1,0,1,1,1,0,5,0.8923387096774194,0.8923387096774194,rt_mean_next_mean,4,C7M_on|C8EV_on|H3_on|H6M_on|V3_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,0,0,0,0,1,1,0,1,1,1,1,6,1.095357142857143,1.095357142857143,rt_mean_next_mean,1,C7M_on|C8EV_on|H3_on|H6M_on|V3_on|V4_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,0,0,0,0,1,1,1,0,1,1,0,5,1.0129032258064516,1.0129032258064516,rt_mean_next_mean,1,C7M_on|C8EV_on|E1_on|H6M_on|V3_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,0,0,0,0,1,1,1,1,1,0,0,5,0.8956666666666667,0.8956666666666667,rt_mean_next_mean,1,C7M_on|C8EV_on|E1_on|H3_on|H6M_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,0,0,0,0,1,1,1,1,1,1,0,6,0.3893333333333333,0.3893333333333333,rt_mean_next_mean,1,C7M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on,2,10,0.4776003659528327,0.2309354838709677,25
0,0,0,0,0,1,0,1,0,0,1,0,0,3,0.8853602150537634,0.8853602150537634,rt_mean_next_mean,2,C6M_on|C8EV_on|H6M_on,5,10,0.907956989247312,0.8080637480798771,86
0,0,0,0,0,1,0,1,0,0,1,1,0,4,0.2836160714285714,0.2836160714285714,rt_mean_next_mean,8,C6M_on|C8EV_on|H6M_on|V3_on,2,10,0.4776003659528327,0.2309354838709677,25
0,0,0,0,0,1,0,1,0,1,1,0,0,4,1.0098814132104454,1.0098814132104454,rt_mean_next_mean,5,C6M_on|C8EV_on|H3_on|H6M_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,0,0,0,1,0,1,0,1,1,1,0,5,0.9145483870967742,0.9145483870967742,rt_mean_next_mean,3,C6M_on|C8EV_on|H3_on|H6M_on|V3_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,0,0,0,1,0,1,0,1,1,1,1,6,0.2027060931899641,0.2027060931899641,rt_mean_next_mean,3,C6M_on|C8EV_on|H3_on|H6M_on|V3_on|V4_on,1,10,0.2043620071684588,0.0,30
0,0,0,0,0,1,0,1,1,0,1,0,0,4,0.2828571428571428,0.2828571428571428,rt_mean_next_mean,1,C6M_on|C8EV_on|E1_on|H6M_on,2,10,0.4776003659528327,0.2309354838709677,25
0,0,0,0,0,1,0,1,1,0,1,1,0,5,1.5556666666666668,1.5556666666666668,rt_mean_next_mean,1,C6M_on|C8EV_on|E1_on|H6M_on|V3_on,10,10,1.7748387096774194,1.52,11
0,0,0,0,0,1,0,1,1,1,1,0,0,5,0.7859677419354839,0.7859677419354839,rt_mean_next_mean,2,C6M_on|C8EV_on|E1_on|H3_on|H6M_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,0,0,0,1,0,1,1,1,1,1,0,6,1.0068333333333332,1.0068333333333332,rt_mean_next_mean,8,C6M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on,6,10,1.0068333333333332,0.9107816180235536,108
0,0,0,0,0,1,1,1,0,1,1,0,0,5,1.0687917050691245,1.0687917050691245,rt_mean_next_mean,5,C6M_on|C7M_on|C8EV_on|H3_on|H6M_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,0,0,1,0,0,0,0,0,1,1,0,3,0.6000000000000001,0.6000000000000001,rt_mean_next_mean,1,C5M_on|H6M_on|V3_on,3,10,0.6685232974910394,0.516774193548387,43
0,0,0,0,1,0,0,1,0,0,1,1,0,4,0.7795000000000001,0.7795000000000001,rt_mean_next_mean,2,C5M_on|C8EV_on|H6M_on|V3_on,4,10,0.8024135944700461,0.6738709677419356,79
0,0,0,0,1,0,0,1,0,1,1,1,1,6,1.0589247311827958,1.0589247311827958,rt_mean_next_mean,2,C5M_on|C8EV_on|H3_on|H6M_on|V3_on|V4_on,7,10,1.1125806451612903,1.0075612903225806,101
0,0,0,0,1,0,0,1,1,1,1,1,1,7,0.7944139784946237,0.7944139784946237,rt_mean_next_mean,4,C5M_on|C8EV_on|E1_on|H3_on|H6M_on|V3_on|V4_on,4,10,0.8024135944700461,0.6738709677419356,79
